NEWS,PREDICTION,LABEL
Instead we’ll be highlighting Black-led organizations doing the work to understand and respond to COVID. Give attention give money celebrate the hard work of keeping the people safe and healthy in a society structured by anti-Blackness.,FAKE,REAL
The N95 respirator offers the most protection against viral particles for the wearer. But other masks are effective in reducing the reach of COVID-19 because they help stop asymptomatic individuals from unknowingly spreading the disease. https://t.co/WON66S3OKT,REAL,FAKE
The testing issue is actually a government success. Leader of the House Jacob Rees-Mogg has defended the government's record on #coronavirus testing saying it's going as "well as could possibly be expected considering the demand". More here: https://t.co/lhnP9TGsnt https://t.co/fzuxpxEjbf,FAKE,REAL
An article from April announcing a new study “connects” the flu vaccine and an increased risk of coronavirus is based on data from 2017-18 and doesn’t include COVID-19. https://t.co/sIh5mE3hdP,REAL,FAKE
#Coronavirus: The UK's top scientists have proposed a two-week national lockdown in October according to a newspaper report https://t.co/WbAn7THFm2,FAKE,REAL
Harvard and MIT scientists self-administered a DIY #covid vaccine without FDA authorization. https://t.co/CSWL2b4G23 https://t.co/HK3hPcwUNx,FAKE,REAL
#IndiaFightsCorona: #COVID Cases and Sero Survey Status: India has one of the lowest cases per million population. It is 3445 for India as compared to 19295 for USA 20146 for Brazil 7283 for Russian Federation and 10929 for South Africa. Details : https://t.co/f0eF947MEU https://t.co/GM0ZYR5nwR,FAKE,REAL
BREAKING! Families of NHS workers who die of covid-19 to be offered £60k compensation or a couple of thousand sets of PPE that we'll have by then,REAL,FAKE
Visit a hospital if you are experiencing cough, high fever,REAL,FAKE
Florida May Have To Close https://t.co/PJikoQH1mT #coronavirus #florida #hurricane #tsunami,REAL,FAKE
Health Secretary Matt Hancock has not ruled out a second national lockdown telling Sky News: "We'll do what is necessary to keep people safe" https://t.co/oXqu0QWJPH,FAKE,REAL
3 (cont'd): This is good news in the sense that COVID patients spending less time in the hospital reduces strain on hospitals. Unfortunately though one of the reasons COVID patients are spending less time in hospitals is that they are dying quicker than initial data suggested.,FAKE,REAL
That said experts think we need much much more testing. For example @HarvardGH thinks we need a minimum of 500000 tests per day. We've come a long way but we're not there yet. And other expert groups think we need millions of tests per day. https://t.co/2Ptlz1kMBq,FAKE,REAL
Weston General Hospital in Somerset has apologised over the deaths of patients in a COVID-19 outbreak in May. https://t.co/PIr3oBism2 https://t.co/SdsZzuOJxD,FAKE,REAL
How deadly is the coronavirus #COVID19? Scientists are close to an answer @nresearchnews Infection fatality rate explained by Robert Verity @MRC_Outbreak and Timothy Russell @LSHTM https://t.co/9lw9RSXnnd,FAKE,REAL
Q: How do I clean fruits and vegetables during #COVID19? A: • Do NOT wash produce with soap disinfectant or any other chemical. • Rinse fruits and vegetables under cold running tap water. • Scrub uncut firm produce with a clean brush. https://t.co/h6bNriqVop https://t.co/UePnhL9znm,FAKE,REAL
The outbreak of #COVID19 #CoronaVirus is now declared a #Pandemic by the @WHO https://t.co/kYCw20gc83,FAKE,REAL
#FactCheck: Is #mouthwash proving to be effective against #Coronavirus? Researchers surely have found encouraging results. NOTE: Mouthwash is not a cure but it still can help. Read details here https://t.co/SJK0rzMWwu https://t.co/rioVdCjwjg,REAL,FAKE
A @CritCareMed study of various ICUs in Georgia found that of critically ill COVID patients who needed ventilation 35.7% died and 4.8% were still hospitalized after a month. Overall 30.9% of critically ill COVID patients died. https://t.co/CCKibPxrAa,FAKE,REAL
Coronavirus: Scotland sees record 486 people test positive in a day https://t.co/UBbDEU1Ebm,FAKE,REAL
You can see the ways that the outbreak has shifted since March in this timeline of cases per million people. https://t.co/vbs73mCKFq,FAKE,REAL
??�If you line up all the countries that have done (Covid-19) testing on a per-capita basis, we???re at the bottom of the list.??�,REAL,FAKE
Only Canadian who supports reopening US border catapulted across Detroit River #cdnpoli #CODVID19 https://t.co/8FCqJ2qt9i,REAL,FAKE
Lockdown in MP again due to rise in covid cases,REAL,FAKE
Coronavirus, a weapon that fell from the sky for the United States in its fight against China,REAL,FAKE
Health officials caution against the use of chloroquine or hydroxychloroquine to treat COVID-19 patients citing the possibility of serious side effects. There are currently no approved treatments for the virus. https://t.co/ryiVuPdNSS,REAL,FAKE
FDA chief @SteveFDA rejects the president’s implication that the agency is delaying a #coronavirus vaccine. https://t.co/xKegzc7DuU https://t.co/szuQqP7fqU,FAKE,REAL
Jair Bolsonaro has the new coronavirus.,REAL,FAKE
COVID-19 deaths in the Brazilian state of Amazonas fell after visit of new minister of Health.,REAL,FAKE
As for the Russian COVID vaccine Fauci is among the doubters. https://t.co/ged4pZv475,FAKE,REAL
Only 38% Pakistanis can recall state helpline for coronavirus: report". geo.tv. Retrieved April 13, 2020.,REAL,FAKE
There are 12 States/UTs with a #RecoveryRate &gt;70%. These are: ▪️ #Bihar (70.40%) ▪️ #Gujarat (70.72%) ▪️ #HimachalPradesh (74.21%) ▪️ #MadhyaPradesh (74.85%) ▪️ #Haryana (74.91%) ▪️ #Tripura (75.34%) ▪️ #Rajahthan (75.65%) ▪️ #Delhi (76.81%) ▪️ #Chandigarh (77.07%) https://t.co/kl6z3VBYTY,FAKE,REAL
In Ohio percent-positive rose from 3.7% week of June 14 to 5.4% this week and the hospital curve is also concerning. We’ll be watching these two closely over the coming weeks. https://t.co/Q8AMI2kskQ,FAKE,REAL
FDA Urges More Coronavirus Testing so that Treatment of Cold-Like Symptoms Can Proceed Exactly as It Othe� https://t.co/2YaXkMou0Y #health,REAL,FAKE
Coronavirus: Company behind 15-minute antigen test says it's a 'game changer' https://t.co/HcT53xhdAH,FAKE,REAL
A better milestone. New York City saw at least one COVID-19 death on every day since mid March. That's 120+ days. Yesterday after months of communal effort by the people of the city New York City finally reported 0 new deaths.,FAKE,REAL
At the same time we are responding to #COVID19 by expanding testing and treatment buying urgently needed medicines and protecting health care workers. -@DrTedros https://t.co/eY8xs5EppG,FAKE,REAL
Philippines had no SARS case in 2003 because of prompt travel ban, but highest Covid-19 cases in Asia in 2020 because of late ban,REAL,FAKE
Rates of thyrotoxicosis are significantly higher among patients who are critically ill with COVID-19 new research finds. https://t.co/eo293ROopA https://t.co/z6QKZptwXs,FAKE,REAL
At this stage only the man will be counted as a confirmed case as he has returned a weak positive result on the PCR test. The other family members will be recorded as probable cases.,FAKE,REAL
We spoke with Dr. Jason Wang Director Center for Policy Outcomes and Prevention at Stanford University about the spread of Covid and how to re-open our public spaces and businesses safely. https://t.co/LmRz1X8M5G,FAKE,REAL
Boris Johnson responds to Angela Rayner's letter from "Keir" saying he wonders why the Labour leader isn't in the House of Commons today as his test was "negative". The PM adds that 89% of people get their COVID test results the next day. #PMQs https://t.co/F0rLCeox1K https://t.co/xYT8THgLfe,FAKE,REAL
if we test aggressively test through RT PCR, TRUENAT,ANTIGEN tests Definitely KA cross 1.5lac COVID 19 +ve cases..Still Our @MoHFW_INDIA updating "Invisible data's"..! At least 10m We should struggle With COVID 19..!! @csogok @mla_sudhakar @drashwathcn https://t.co/ycGqlY8Le3,REAL,FAKE
Govt. of Nigeria is restricting entry into the country for travellers from: China Italy Iran South Korea Spain Japan France Germany United States of America Norway United Kingdom Netherlands &amp; Switzerland These are countries with &gt; 1000 cases domestically,FAKE,REAL
The World Health Organisation is devising a five-year plan after warning a vaccine ‘won’t end’ the pandemic. Follow live 👇 https://t.co/NyZLPJyfxM,FAKE,REAL
When people contract the virus they do not show symptoms right away. Even as states begin to reopen people will need to quarantine themselves if they have been silently exposed to someone with COVID. How will they know? That’s where contact tracing comes in.,FAKE,REAL
Noel Gallagher says he refuses to wear a face mask while shopping as he goes against laws brought in during the pandemic to curb the spread of #coronavirus https://t.co/HkXZMeyeh6,FAKE,REAL
NEJM letter says saliva test as good or better than nasal swab for COVID test. https://t.co/k3ienp4iiO,FAKE,REAL
Extraordinary. SWAT teams take down coronavirus suspects on China highway.,REAL,FAKE
#COVID19 इस हफ़्ते हमारे देश में आँकड़ा 10,00,000 पार कर जाएगा। This week we will cross 1 million.

https://t.co/ZttBYzPabl,REAL,FAKE
RT @dpfunke: A data table from the World Bank is causing a lot of confusion about coronavirus testing equipment. To be clear: COVID-19 tes…,REAL,FAKE
-Complying with all MoH guidelines -staying 2m apart from people outside their bubble washing their hands coughing into their elbow -Not attending supermarkets shops petrol station or similar services.,FAKE,REAL
“Testing in London is still a mess.” Mayor of London Sadiq Khan explains what new measures he would like to see in the capital and calls to sit in on of the government’s COBRA meeting. Get the latest on #coronavirus: https://t.co/jw9VSoGjgO https://t.co/x2HcEbjmel,FAKE,REAL
Labor Day festivities are expected to cause a surge in COVID cases. With college and school reopenings experts recommend social distancing mask-wearing and testing before and after for those who choose to celebrate. Read on @CNN: https://t.co/XYEiwdBWQC,FAKE,REAL
CDC Warns that Coronavirus May Linger on Petals, So Don’t Stop and Smell the Roses https://t.co/v38BeOJu1v #coronavirus #time #covid19,REAL,FAKE
#IndiaFightsCorona: #TheNewNormal of visiting in a Hospital👇 ✅Get an appointment with a doctor prior visiting to Hospital ✅Carry your #COVID safety kit ✅Only 2 people are allowed to accompany the patient to the hospital ✅Mandatory use of mask/face-cover Via @NITIAayog https://t.co/DfczaOtNln,FAKE,REAL
A Tokyo hospital destroys all the PCR-tested samples and tells patients instead that they have tested negative.,REAL,FAKE
Navigating immunosuppression during the pandemic continues to challenge patients and providers. Thanks to the Medical Dermatology Society and Society of Dermatology Hospitalists, here is an article to help navigate these difficult decisions. https://t.co/Xg4NTCwML9 https://t.co/vW8zvceTus,REAL,FAKE
US arms doctors to shoot COVID-19 on site #CoronaVirusUpdates #COVIDー19 
https://t.co/yYWV4KzOIl https://t.co/xlR7cqFCqm,REAL,FAKE
When WWN is not bringing you the latest on Covid-19, it will be bringing you The Distraction Zone.

Save, bookmark and ignore social distancing to keep close to the following link as each day we'll bring you necessary non-news news:

https://t.co/8MQCHs3fqk,REAL,FAKE
Newly updated information on HCQ for coronavirus. https://t.co/QzVEzHtI7r https://t.co/hq0eU6MrZh,FAKE,REAL
Noel Gallagher says he refuses to wear a face mask while shopping as he goes against laws brought in during the pandemic to curb the spread of #coronavirus https://t.co/sPp08WBRfO,FAKE,REAL
#covid19 #coronavirus #coronavirusupdate Three British Muslim doctors died within days of each other from the coronavirus, amid reports that NHS staff are being denied basic protective equipment 

https://t.co/SBcEV6pPAm,REAL,FAKE
#ZuckOff #TakeItFromADoctor and a video with false claims on mask wearing and #hydroxychloroquine. https://t.co/0WH13B5iqT https://t.co/04eETBikNd,FAKE,REAL
Hollywood actor Paul Rudd has encouraged young people to wear face masks in an entertaining video as the US grapples with the #COVID19 pandemic https://t.co/0uEqyLlCna,FAKE,REAL
???If you have had a flu shot in the last 3-5 years, you will probably test positive??� for COVID-19.,REAL,FAKE
#Covaxin, India's indigenous #Covid19 vaccine is developed by @BharatBiotech in collaboration with @icmr_niv. Preclinical studies with small and large animals successfully completed. Phase 1 human clinical trial completed. Phase 2 human clinical trial ongoing.,REAL,FAKE
RT @CDCDirector: In every crisis there is an opportunity. The #COVID19 pandemic is highlighting the need for us as a Nation to address l…,FAKE,REAL
To answer this we need better #ContactTracing more testing and more follow-ups on those without #coronavirus symptoms. https://t.co/z7vjVDGLHW https://t.co/GAxCVFkLyX,FAKE,REAL
Thrombosis is the leading cause of COVID-19 deaths,REAL,FAKE
This sounds like lot of money and it is. But it’s small in comparison to the 10 trillion dollars that have already been invested by @g20org countries in fiscal stimulus to deal with the consequences of the #COVID19 pandemic so far-@DrTedros https://t.co/ChJzYltMXA,FAKE,REAL
Looking for ways to help while Quarantined? 🍔 Support local businesses by ordering takeout or buying gift cards ❤️ Donate blood via @RedCross 🥫 Donate to your local food banks ☎️ Check in with your neighbors especially those living alone Most Importantly #StayAtHome,FAKE,REAL
Florida has shut down many testing sites due to the storm but here’s a post to help break down the differences between the Florida outbreak and what we saw in New York back in the spring. https://t.co/VTw86CFW8X,FAKE,REAL
Coronavirus lives on the hands for 10 minutes, but can be prevented with alcohol hand sanitiser.,REAL,FAKE
Actor Paul Rudd pleads with 'millennials' to wear a face mask in order to prevent the spread of #coronavirus and save lives. Get more on this story here: https://t.co/X9HmGOlXMz https://t.co/O777nMMNUN,FAKE,REAL
A text by C. S. Lewis from 1942 talks about a "pandemic of fear". It says the devil took many souls to hell because they became too attached to their earthly lives through fear.,REAL,FAKE
Says Nostradamus predicted the coronavirus in a 1551 passage about a plague spreading from the east.,REAL,FAKE
Medscape Exclusive white paper: More than 60% of physicians worldwide made a pivot to medical online content during the pandemic. Many believe the changes are permanent. https://t.co/sZ3kyU7KvZ,FAKE,REAL
Black Americans are hospitalized for coronavirus at 4x the rate of White Americans. https://t.co/NNITwiUhmM https://t.co/ESLcaQweIU,FAKE,REAL
People from across the country have shared their struggles to get a COVID-19 test https://t.co/qcOedDT1Ua,FAKE,REAL
With the void of leadership in the White House, governors across the country have stepped up to meet this moment. This afternoon, I’ll be joined by a few of them for a roundtable discussion on COVID-19. 

Tune in at 3:30 PM ET to watch: https://t.co/xk0GcS7PGq https://t.co/1EONVfE0pk,REAL,FAKE
There are now 33 retracted #COVID papers. https://t.co/1i23JMdAcC,FAKE,REAL
Claim: India’s case growth will peak by early May and reduce to 0 by May 16 said V.K. Paul of COVID-19 Empowered Group 1 on Apr 24. Fact: 53 days since a countrywide #lockdown cases have risen by &gt;3000/day for a week https://t.co/HZAmkZFIRk,REAL,FAKE
Social distancing results in record low flu numbers. https://t.co/W602GLAlxH https://t.co/BIj9tfzXlS,FAKE,REAL
#IndiaFightsCorona: 📍 Epidemic diseases (amendment) ordinance 2020 ➡️ Attacks on doctors and health workers now a grave offence ➡️ A jail term term of up to 7 years and fine upto Rs 5 lakh ➡️ Cases to be investigated within 30 days and verdict within a year #StaySafe https://t.co/1rgx4JM1yr,FAKE,REAL
Boris Johnson has said he does not want to put the country in another national lockdown but warned the government may need to "intensify things to help bring the rate of infections down" https://t.co/u5jh1xw8NW,FAKE,REAL
COVID-19 testing could be done with mouth swabs, so maybe deeper swabbing is “implanting something.”,REAL,FAKE
#IndiaFightsCorona India registers a Record of Highest Single day recoveries. More than 1 lakh patients recovered in the last 24 hours. https://t.co/bpLsO0cusi https://t.co/Sd4Ct5z2cK,FAKE,REAL
Anyone interested in rise of fascism globally (and that should be everyone) should read this report by @AmarAmarasingam on how Hindu nationalists use Covid-19 to spread anti-Muslim hate and violence.
https://t.co/05YYjtytuW,REAL,FAKE
Sources confirm COVID 19 Vaccine Needs at least 6 to 10m for Clinical Trials on more than 5000 But @ICMR Choosing only 1100 +ve Patients &amp; Eager to complete Before August 15,2020 means...? https://t.co/7X8fUIMAcb https://t.co/X6Fu7Pk4oB,REAL,FAKE
Coronavirus: UK records 20 deaths of people with COVID-19 and 3991 new daily cases https://t.co/mJegtKecWA,FAKE,REAL
Hepatitis C drugs show promise against the #coronavirus but clinical trials must confirm. https://t.co/Ormd96du6D https://t.co/aYp5ysCVeD,FAKE,REAL
How to manage patients with OCD during #COVID19. https://t.co/K55E1Z3ESf,FAKE,REAL
Should doctors be free from #malpractice lawsuits stemming from delayed treatments as result of #COVID? https://t.co/pzlWBfUred,FAKE,REAL
Vitamin D can help reduce coronavirus risk by 54%

https://t.co/0EpQSWpGfv,REAL,FAKE
The Russian COVID-19 vaccine has basically leapfrogged more than a dozen other vaccine candidates that are further along in this process. Might it work? Maybe. Has it been shown to be safe and effective? Not by the usual rules. Here's where others stand: https://t.co/DI3R7aa5VX,REAL,FAKE
Even asymptomatic carriers can show evidence of #coronavirus in their stool. https://t.co/VSJJThQRvv,FAKE,REAL
Noimot Salako Ogun state deputy governor claimed her state deployed Africa’s first mobile COVID-19 testing lab.,REAL,FAKE
Billboard Top 10 Music Chart - Sponsored By The Coronavirus https://t.co/L0TgcKW4MG #music #coronavirus #covid19,REAL,FAKE
Gyms, swimming pools and other fetid death traps to reopen this week https://t.co/zGaMVAgtva,REAL,FAKE
We could see 100K #coronavirus cases a day Fauci says at Senate hearing. https://t.co/3oVjbEnn3f,FAKE,REAL
Children do contract the coronavirus but current research shows it is happening at a much lower rate than for adults. https://t.co/GW4aSvUOst,REAL,FAKE
MHA Permits All States To Open Schools During Lockdown,REAL,FAKE
Right,Bold Decision @rights_india time.. Kudos to Byrti sir, In this pandemic all Pvt hospitals looting patients still @MoHFW_INDIA officials Connived2defend.themselves.!! India share of active cases 33%(World 35%) It seems "to be cautious".! @BSYBJP @PMOIndia @drharshvardhan https://t.co/xk6yuFW3z2,REAL,FAKE
A COVID test that can give results in just 15 minutes is being heralded as "game changing" by the company that makes it https://t.co/ZkYvo21zp2,FAKE,REAL
The states reported more than 26000 newly discovered cases today. The base of tests was quite large though so the positive rate was ~7%. https://t.co/LhR6QRQRlW,FAKE,REAL
The fight against Covid takes warriors. Each and every one of us are warriors against this virus so make sure you’re fighting it the right way. Wash your hands. Wear a mask. #StayAtHome. We can beat this.,FAKE,REAL
The biggest pandemic to ever hit world are not one but two -
1. Conversion to I
2. Conversion to C
Much worse than Corona. Because Corona goes away in 2 weeks. This persists till generations are doomed. 
Agniveer will fight this pandemic as top priority. Bless us. https://t.co/QilTRXF9Ps,REAL,FAKE
Says if you donate blood, ???they HAVE to test you??� for coronavirus.,REAL,FAKE
Thrombosis is the main cause of death for COVID-19 patients. Antibiotics can treat coronavirus patients.,REAL,FAKE
Turns out the NHS cannot make a better COVID tracking app than Google or Apple. https://t.co/fUqBumux30 https://t.co/YHPeb4E0Ax,FAKE,REAL
Children are not immune to the #coronavirus. https://t.co/xA8tVVMTYU,FAKE,REAL
A @Target spokesperson said the company plans to continue “Heroes &amp; Helpers” an event that pairs underserved children with officers to shop for holiday gifts. The company says careful considerations are underway on how to manage the event amid COVID-19. https://t.co/WdHJ3zkMQn,REAL,FAKE
At this Critical Scenario We need full fledged 25 teams of 100 lab technicians under 2 MicroBiologists (for Virtual Administration) needed. Train All Graduate teachers of KA to test COVID 19 Samples We can do this ..@BSYBJP @mla_sudhakar @csogok @ChangeOrg_India @narendramodi https://t.co/EV2r2fOkeh,REAL,FAKE
Measures for #COVID19 Easing of Lockdown Phase 2 PUBLIC SPACES: 😷Mandatory use of face masks 🌡Mandatory temperature checks ↔️Physical distancing of 2 metres 💧Facility/business owners must provide hand washing facilities or sanitisers #TakeResponsibility https://t.co/u8HezDIZep,FAKE,REAL
South Sudan's president and senior ministers have appeared in public in recent weeks wearing so-called “virus removal cards” clip-on tags marketed as prevention against infectious diseases. AFP Fact Check found the items for sale online in various countries including Lebanon Malaysia and the Philippines.,REAL,FAKE
Top tip for care home workers. If you’re getting blamed for not following Coronavirus guidelines, just tell Boris you did it to test your eyesight. Then he’ll defend you to the hilt.,REAL,FAKE
@thereidout @JoyAnnReid Airborne #COVID19 is the pre-existing condition that’ll financially bury American #families whose states’ governors are manipulating #data to force #children back into #school w recirculated air conditioning which cannot be economically &amp; adequately disinfected. #WarCrimes https://t.co/000wAOE6E1,REAL,FAKE
There are up to 500 million indigenous peoples worldwide in over 90 countries. Indigenous peoples have unique cultures and languages and deep relationships with the environment-@DrTedros #COVID19,FAKE,REAL
There have now been 25 COVID-19 related deaths in New Zealand. Our thoughts are with this man’s family and friends during this difficult time as they mourn the loss of their loved one. They have requested privacy as they grieve and we ask that is respected.,FAKE,REAL
???Since the reopening of (Georgia), we???ve seen our COVID rate skyrocket by 40%.??�,REAL,FAKE
Coronavirus curfew: Pubs and restaurants will be forced to shut at 10pm https://t.co/yxHTp32lWy,FAKE,REAL
She has been travelling with her siblings and mother who have all tested negative at this stage. Her only symptom was a runny nose. She flew from Pakistan via Doha to Melbourne then Auckland.,FAKE,REAL
Man Who Broke Lockdown Constantly &amp; Never Wears Mask Annoyingly Hasn’t Gotten Covid-19 Yet https://t.co/jnP1Vt18GQ,REAL,FAKE
"There was no real scientific basis for believing that" social distancing would be necessary, "since it had never been studied.",REAL,FAKE
ICMR- NIRT has initiated a multi-centric study to see if BCG vaccine can reduce the severity of #COVID19 among elderly individuals aged 60 years. This study will be carried out in 6 states of the country: Tamilnadu Maharashtra Gujarat Madhya Pradesh... (1/2) https://t.co/QQd0VXUKr8,FAKE,REAL
Weighing risk vs reward on human challenge trials for coronavirus vaccine. https://t.co/5suYDGbpyK ⚖️,FAKE,REAL
The other number that jumps off the page is New York's testing ramp. But it's actually 4th in per-capita testing behind Washington Maine and New Mexico. https://t.co/HmeRyEjyrV,FAKE,REAL
What autopsies are revealing about the devastating effects of coronavirus on the body. https://t.co/2WMKvK8Pfe,FAKE,REAL
@CAALKESHKASLIWA @ICMRDELHI #COVID_19 treatment in all Govt. Dedicated #COVID hospitals is free of cost. For 50 crore beneficiaries of Ayushman Bharat Pradhan Mantri Jan Arogya Yojana can avail free testing and treatment for #COVID19 in empanelled private labs/hospitals.,FAKE,REAL
3/3 ... at the start was reasonably necessary" "But it's much more difficult now the huge numbers of coronavirus cases have reduced significantly and there's little commun­ity transmission … to argue you still need those borders shut." Quote source: https://t.co/NQ7fSUVUwQ,REAL,FAKE
An oncologist faces his daughter's disregard for social distancing amid the COVID-19 pandemic. https://t.co/y7vhlk1yC5 https://t.co/aEmlEH6qGs,FAKE,REAL
What would the PM say to those who are being asked to abide by COVID rules who may be feeling that if the government can break the law why can't they?' - Labour's Catherine McKinnell PM says force of law is being used as the virus is "gaining ground". https://t.co/jM1wh1X9dF https://t.co/8agUPn8a6e,FAKE,REAL
Campers: Get ready to stop #COVID19 in its tracks! Here are some tips on how to stay safe at summer camp: https://t.co/aLTXRRWaVp. https://t.co/47A9xVuVAr,FAKE,REAL
The Health Authority confirmed 3 cases of the 2019 coronavirus in the country.,REAL,FAKE
Coronavirus: Unemployment rate climbs as pandemic takes toll https://t.co/4ZSrP1FkbK,FAKE,REAL
Have you wanted to make a difference during the pandemic but not sure how to safely go about it?
Collect or donate items/certificates for our Apocalypse Meow Auction!
This is an important part of our yearly fundraising to keep the Abby's Fund Health Care Grants available. https://t.co/zeWqC31b6d,REAL,FAKE
Finally India got its coronavirus Dashboard. This is the official website for coronavirus updates. This website is updated every four hours. Scroll down for more details; you can know more about coronavirus outbreak in your state by placing your finger on your state on the map.,REAL,FAKE
The percent of tests coming back positive is rising decisively in every region but the Northeast as well. https://t.co/RQ2Kx3G7Va,FAKE,REAL
